control,variant,vus,replica,cpu_total_m,mem_total_Mi
C4,baseline,1,1,18,140
C4,baseline,1,2,640,142
C4,baseline,1,3,661,142
C4,baseline,1,4,658,142
C4,baseline,1,5,661,142
C4,baseline,1,6,644,142
C4,baseline,1,7,664,142
C4,baseline,1,8,671,142
C4,moderate,1,1,17,138
C4,moderate,1,2,52,138
C4,moderate,1,3,52,138
C4,moderate,1,4,51,138
C4,moderate,1,5,52,138
C4,moderate,1,6,50,138
C4,moderate,1,7,52,138
C4,moderate,1,8,52,138
C4,strict,1,1,54,150
C4,strict,1,2,28,150
C4,strict,1,3,26,150
C4,strict,1,4,29,150
C4,strict,1,5,26,150
C4,strict,1,6,26,150
C4,strict,1,7,27,150
C4,strict,1,8,28,150
C4,baseline,5,1,430,143
C4,baseline,5,2,972,142
C4,baseline,5,3,993,142
C4,baseline,5,4,1009,142
C4,baseline,5,5,972,143
C4,baseline,5,6,987,142
C4,baseline,5,7,967,142
C4,baseline,5,8,983,142
C4,moderate,5,1,15,138
C4,moderate,5,2,54,138
C4,moderate,5,3,54,138
C4,moderate,5,4,54,138
C4,moderate,5,5,59,138
C4,moderate,5,6,54,138
C4,moderate,5,7,54,138
C4,moderate,5,8,53,138
C4,strict,5,1,44,150
C4,strict,5,2,26,150
C4,strict,5,3,30,150
C4,strict,5,4,27,150
C4,strict,5,5,27,150
C4,strict,5,6,28,150
C4,strict,5,7,28,150
C4,strict,5,8,28,150
C4,baseline,10,1,486,143
C4,baseline,10,2,975,143
C4,baseline,10,3,1025,143
C4,baseline,10,4,1005,143
C4,baseline,10,5,985,142
C4,baseline,10,6,1002,143
C4,baseline,10,7,979,142
C4,baseline,10,8,1034,143
C4,moderate,10,1,165,138
C4,moderate,10,2,61,138
C4,moderate,10,3,57,138
C4,moderate,10,4,57,138
C4,moderate,10,5,55,138
C4,moderate,10,6,54,138
C4,moderate,10,7,58,138
C4,moderate,10,8,57,138
C4,strict,10,1,39,150
C4,strict,10,2,28,150
C4,strict,10,3,28,150
C4,strict,10,4,30,150
C4,strict,10,5,27,150
C4,strict,10,6,29,150
C4,strict,10,7,28,150
C4,strict,10,8,27,150
C4,baseline,20,1,752,143
C4,baseline,20,2,974,143
C4,baseline,20,3,986,143
C4,baseline,20,4,964,144
C4,baseline,20,5,975,144
C4,baseline,20,6,1011,143
C4,baseline,20,7,963,143
C4,baseline,20,8,991,143
C4,moderate,20,1,19,138
C4,moderate,20,2,58,138
C4,moderate,20,3,57,138
C4,moderate,20,4,61,138
C4,moderate,20,5,62,138
C4,moderate,20,6,56,138
C4,moderate,20,7,58,138
C4,moderate,20,8,61,138
C4,strict,20,1,38,150
C4,strict,20,2,30,150
C4,strict,20,3,28,150
C4,strict,20,4,28,150
C4,strict,20,5,32,150
C4,strict,20,6,28,150
C4,strict,20,7,27,150
C4,strict,20,8,33,150
