control,variant,vus,replica,avg_ms,p95_ms,err_pct,rps,ratelimit_503,backend_503,reached_backend,cpu_total_m,mem_total_Mi
C4,baseline,10,1,10.187,13.72,0,966.746,0,0,19350,486,143
C4,baseline,10,2,10.104,13.62,0,974.189,0,0,19496,975,143
C4,baseline,10,3,9.908,13.368,0,993.979,0,0,19891,1025,143
C4,baseline,10,4,10.056,13.537,0,979.625,0,0,19606,1005,143
C4,baseline,10,5,9.893,13.211,0,995.702,0,0,19928,985,142
C4,baseline,10,6,9.886,12.942,0,995.772,0,0,19928,1002,143
C4,baseline,10,7,10.033,13.363,0,981.831,0,0,19648,979,142
C4,baseline,10,8,10.037,13.295,0,981.344,0,0,19642,1034,143
C4,baseline,1,1,1.626,2.237,0,564.034,0,0,11285,18,140
C4,baseline,1,2,1.562,2.031,0,588.203,0,0,11769,640,142
C4,baseline,1,3,1.565,1.986,0,586.551,0,0,11735,661,142
C4,baseline,1,4,1.552,1.999,0,590.944,0,0,11824,658,142
C4,baseline,1,5,1.565,2.056,0,585.866,0,0,11722,661,142
C4,baseline,1,6,1.551,2.0,0,591.876,0,0,11841,644,142
C4,baseline,1,7,1.597,2.093,0,572.706,0,0,11458,664,142
C4,baseline,1,8,1.598,2.139,0,572.909,0,0,11461,671,142
C4,baseline,20,1,19.333,27.223,0,1024.916,0,0,20517,752,143
C4,baseline,20,2,19.372,27.255,0,1023.227,0,0,20480,974,143
C4,baseline,20,3,19.329,27.444,0,1024.988,0,0,20517,986,143
C4,baseline,20,4,19.444,26.851,0,1019.658,0,0,20413,964,144
C4,baseline,20,5,18.942,26.863,0,1045.98,0,0,20933,975,144
C4,baseline,20,6,19.132,27.191,0,1035.687,0,0,20730,1011,143
C4,baseline,20,7,18.875,26.414,0,1049.602,0,0,21014,963,143
C4,baseline,20,8,19.306,27.217,0,1026.739,0,0,20552,991,143
C4,baseline,5,1,5.303,7.19,0,917.801,0,0,18365,430,143
C4,baseline,5,2,5.25,6.991,0,926.723,0,0,18542,972,142
C4,baseline,5,3,5.263,7.067,0,924.286,0,0,18494,993,142
C4,baseline,5,4,5.205,6.875,0,934.327,0,0,18696,1009,142
C4,baseline,5,5,5.235,6.911,0,929.2,0,0,18590,972,143
C4,baseline,5,6,5.258,7.014,0,925.29,0,0,18515,987,142
C4,baseline,5,7,5.242,7.036,0,928.027,0,0,18569,967,142
C4,baseline,5,8,5.256,7.104,0,925.426,0,0,18518,983,142
C4,moderate,10,1,0.838,1.952,0,10392.972,206345,0,1600,165,138
C4,moderate,10,2,0.798,1.931,0,10834.989,216397,0,416,61,138
C4,moderate,10,3,0.792,1.899,0,10910.533,217885,0,416,57,138
C4,moderate,10,4,0.787,1.891,0,10981.973,219333,0,418,57,138
C4,moderate,10,5,0.773,1.846,0,11150.211,222682,0,414,55,138
C4,moderate,10,6,0.796,1.942,0,10867.836,217026,0,417,54,138
C4,moderate,10,7,0.806,1.966,0,10741.232,214494,0,414,58,138
C4,moderate,10,8,0.796,1.922,0,10848.276,216649,0,416,57,138
C4,moderate,1,1,0.416,0.702,0,1876.309,35943,0,1600,17,138
C4,moderate,1,2,0.385,0.475,0,1987.589,39349,0,415,52,138
C4,moderate,1,3,0.377,0.47,0,2027.99,40160,0,418,52,138
C4,moderate,1,4,0.378,0.474,0,2018.503,39973,0,414,51,138
C4,moderate,1,5,0.377,0.472,0,2031.505,40227,0,417,52,138
C4,moderate,1,6,0.379,0.476,0,2015.642,39915,0,416,50,138
C4,moderate,1,7,0.377,0.473,0,2026.96,40138,0,415,52,138
C4,moderate,1,8,0.377,0.47,0,2027.703,40152,0,415,52,138
C4,moderate,20,1,1.612,4.2,0,11387.756,226259,0,1600,19,138
C4,moderate,20,2,1.511,4.076,0,12098.66,241662,0,415,58,138
C4,moderate,20,3,1.452,3.952,0,12552.604,250747,0,417,57,138
C4,moderate,20,4,1.536,4.24,0,11898.53,237657,0,415,61,138
C4,moderate,20,5,1.478,3.992,0,12333.812,246413,0,416,62,138
C4,moderate,20,6,1.5,4.069,0,12154.868,242800,0,416,56,138
C4,moderate,20,7,1.477,3.991,0,12359.847,246883,0,415,58,138
C4,moderate,20,8,1.491,4.029,0,12227.703,244266,0,415,61,138
C4,moderate,5,1,0.549,1.122,0,7474.401,147949,0,1600,15,138
C4,moderate,5,2,0.518,1.1,0,7846.555,156574,0,416,54,138
C4,moderate,5,3,0.539,1.173,0,7548.84,150660,0,418,54,138
C4,moderate,5,4,0.524,1.119,0,7758.836,154826,0,417,54,138
C4,moderate,5,5,0.531,1.14,0,7660.952,152868,0,416,59,138
C4,moderate,5,6,0.525,1.125,0,7735.541,154358,0,415,54,138
C4,moderate,5,7,0.513,1.086,0,7895.33,157543,0,417,54,138
C4,moderate,5,8,0.53,1.143,0,7671.693,153097,0,415,53,138
C4,strict,10,1,0.791,1.888,0,10910.818,217899,0,400,39,150
C4,strict,10,2,0.804,1.944,0,10730.79,214599,0,103,28,150
C4,strict,10,3,0.785,1.888,0,10993.887,219886,0,103,28,150
C4,strict,10,4,0.789,1.91,0,10943.874,218867,0,104,30,150
C4,strict,10,5,0.81,1.98,0,10677.302,213536,0,103,27,150
C4,strict,10,6,0.817,1.992,0,10597.745,211937,0,103,29,150
C4,strict,10,7,0.852,2.087,0,10226.634,204518,0,103,28,150
C4,strict,10,8,0.869,2.18,0,10018.395,200336,0,103,27,150
C4,strict,1,1,0.374,0.474,0,2034.956,40313,0,400,54,150
C4,strict,1,2,0.365,0.463,0,2079.547,41505,0,103,28,150
C4,strict,1,3,0.364,0.465,0,2085.092,41613,0,103,26,150
C4,strict,1,4,0.372,0.469,0,2043.234,40775,0,103,29,150
C4,strict,1,5,0.366,0.464,0,2072.358,41358,0,103,26,150
C4,strict,1,6,0.375,0.502,0,2000.667,39922,0,104,26,150
C4,strict,1,7,0.365,0.462,0,2081.421,41540,0,103,27,150
C4,strict,1,8,0.364,0.462,0,2088.129,41674,0,104,28,150
C4,strict,20,1,1.506,4.002,0,12129.246,242292,0,400,38,150
C4,strict,20,2,1.453,3.912,0,12541.107,250814,0,103,30,150
C4,strict,20,3,1.461,3.988,0,12474.691,249505,0,103,28,150
C4,strict,20,4,1.492,4.082,0,12237.01,244729,0,104,28,150
C4,strict,20,5,1.514,4.142,0,12066.943,241439,0,103,32,150
C4,strict,20,6,1.454,3.959,0,12540.801,250819,0,102,28,150
C4,strict,20,7,1.467,3.965,0,12417.61,248376,0,104,27,150
C4,strict,20,8,1.487,4.052,0,12259.623,245216,0,103,33,150
C4,strict,5,1,0.53,1.139,0,7683.564,153331,0,400,44,150
C4,strict,5,2,0.52,1.117,0,7804.283,156039,0,103,26,150
C4,strict,5,3,0.524,1.128,0,7741.081,154794,0,103,30,150
C4,strict,5,4,0.527,1.146,0,7720.64,154394,0,104,27,150
C4,strict,5,5,0.521,1.126,0,7793.284,155817,0,103,27,150
C4,strict,5,6,0.53,1.141,0,7679.073,153558,0,103,28,150
C4,strict,5,7,0.518,1.113,0,7836.41,156682,0,103,28,150
C4,strict,5,8,0.514,1.098,0,7873.086,157413,0,103,28,150
